sku,product_name,category,supplier_name,supplier_country,warehouse_zone,current_stock,reorder_point,days_inventory_remaining,recommended_order_qty,unit_cost,estimated_po_cost,stock_status
SKU-1498,1/2in EMT Conduit 10ft - Remember Series,Electrical,Galloway-Wyatt Industrial,Vietnam,Aisle-A,14,940,1.5,1866,32.57,60775.62,CRITICAL
SKU-1291,10-in Miter Saw - Hope Series,Power Tools,James Group Logistics,China,Yard-Bulk,14,770,1.6,1526,335.6,512125.6,CRITICAL
SKU-1078,PEX-B Pipe 1/2in x 100ft - Knowledge Series,Plumbing,"Walter, Edwards and Rios Manufacturing",Germany,Yard-Bulk,15,580,1.7,1145,453.2,518914.0,CRITICAL
SKU-1430,1/2in EMT Conduit 10ft - Give Series,Electrical,"Snyder, Campos and Callahan Industrial",USA,Aisle-B,16,120,1.7,224,108.64,24335.36,CRITICAL
SKU-1344,Plywood Sheathing 4x8 - Energy Series,Lumber & Composites,"Ross, Robinson and Bright Corp",Canada,Yard-Bulk,5,105,1.7,205,63.43,13003.15,CRITICAL
SKU-1203,Treated Deck Board 5/4x6 - Different Series,Lumber & Composites,Galloway-Wyatt Industrial,Vietnam,Aisle-D,16,799,1.8,1582,20.38,32241.16,CRITICAL
SKU-1033,Painter Tape Pro 1.88in - Relationship Series,Paint & Supplies,"Watts, Robinson and Nguyen Industrial",Vietnam,Bay-Racks,19,814,2.0,1609,216.83,348879.47,CRITICAL
SKU-1182,3-in Deck Screws 5lb Box - Former Series,Hardware & Fasteners,"Martin, Rose and Obrien Logistics",China,Aisle-B,18,840,2.0,1662,28.07,46652.34,CRITICAL
SKU-1450,Polyurethane Clear Gloss 1-Qt - Kitchen Series,Paint & Supplies,Carlson-Cruz Corp,Germany,Yard-Bulk,19,552,2.1,1085,165.38,179437.3,CRITICAL
SKU-1388,Interior Matte Paint 1-Gal - Understand Series,Paint & Supplies,Rodriguez-Graham Logistics,China,Aisle-A,19,836,2.2,1653,185.56,306730.68,CRITICAL
SKU-1437,Circular Saw 7-1/4in - We Series,Power Tools,Wilkerson-Day Supplies,Germany,Bay-Racks,20,440,2.2,860,117.84,101342.4,CRITICAL
SKU-1469,Submersible Sump Pump 1/2HP - Stock Series,Plumbing,George Group Corp,Canada,Aisle-C,8,70,2.2,132,402.01,53065.32,CRITICAL
SKU-1036,Rotary Hammer Drill SDS - Notice Series,Power Tools,Rodriguez-Graham Logistics,China,Aisle-D,3,176,2.3,349,91.49,31930.01,CRITICAL
SKU-1026,Plywood Sheathing 4x8 - Almost Series,Lumber & Composites,"Dyer, Potter and Mack Supplies",Germany,Aisle-C,7,234,2.3,461,29.06,13396.66,CRITICAL
SKU-1313,Painter Tape Pro 1.88in - State Series,Paint & Supplies,Dudley Group Industrial,Germany,Aisle-D,22,494,2.5,966,255.15,246474.9,CRITICAL
SKU-1477,PVC Cleanout Plug 3in - Republican Series,Plumbing,Baker and Sons Corp,China,Aisle-C,22,1050,2.6,2078,19.36,40230.08,CRITICAL
SKU-1390,Submersible Sump Pump 1/2HP - Could Series,Plumbing,"Harris, Collins and Carney Industrial",Mexico,Aisle-D,3,36,2.7,69,172.21,11882.49,CRITICAL
SKU-1422,Single-Pole Smart Switch - Since Series,Electrical,Abbott-Munoz Logistics,USA,Bay-Racks,9,90,2.8,171,59.92,10246.32,CRITICAL
SKU-1471,Painter Tape Pro 1.88in - Policy Series,Paint & Supplies,Perez Inc Logistics,Vietnam,Aisle-D,31,912,3.2,1793,123.59,221596.87,CRITICAL
SKU-1343,Painter Tape Pro 1.88in - Talk Series,Paint & Supplies,Smith-Bowen Industrial,Japan,Aisle-A,30,560,3.3,1090,140.0,152600.0,CRITICAL
SKU-1297,Treated Deck Board 5/4x6 - Analysis Series,Lumber & Composites,Blake and Sons Logistics,Japan,Aisle-C,12,209,3.3,406,20.8,8444.8,CRITICAL
SKU-1306,Rotary Hammer Drill SDS - Help Series,Power Tools,"Gardner, Robinson and Lawrence Corp",China,Yard-Bulk,5,184,3.5,363,212.89,77279.07,CRITICAL
SKU-1142,1/2in EMT Conduit 10ft - Pattern Series,Electrical,"Gardner, Robinson and Lawrence Corp",China,Bay-Racks,12,460,3.6,908,145.13,131778.04,CRITICAL
SKU-1207,2x4x8 Prime Framing Stud - Worker Series,Lumber & Composites,Garcia-James Logistics,Canada,Aisle-D,31,112,3.6,193,52.85,10200.05,CRITICAL
SKU-1183,Cedar Shingle Bundle - Edge Series,Lumber & Composites,"Adams, Zuniga and Wong Corp",Canada,Aisle-A,5,30,3.6,55,50.47,2775.85,CRITICAL
SKU-1189,Brass Ball Valve 3/4in - First Series,Plumbing,Morales-Jones Corp,Canada,Aisle-B,13,108,3.8,203,105.97,21511.91,CRITICAL
SKU-1006,PVC Cleanout Plug 3in - Live Series,Plumbing,Allen-Allen Supplies,Canada,Aisle-C,37,240,3.9,443,230.57,102142.51,CRITICAL
SKU-1382,Interior Matte Paint 1-Gal - Threat Series,Paint & Supplies,George Group Corp,Canada,Aisle-C,14,63,3.9,112,158.02,17698.24,CRITICAL
SKU-1060,18V Brushless Drill Kit - Arm Series,Power Tools,"Romero, Gonzalez and Brooks Industrial",Japan,Bay-Racks,14,256,4.1,498,170.53,84923.94,CRITICAL
SKU-1474,Interior Matte Paint 1-Gal - Make Series,Paint & Supplies,Ryan PLC Logistics,USA,Aisle-B,5,24,4.1,50,200.38,10019.0,CRITICAL
SKU-1444,Submersible Sump Pump 1/2HP - Interesting Series,Plumbing,Galloway-Wyatt Industrial,Vietnam,Bay-Racks,17,470,4.3,923,326.51,301368.73,CRITICAL
SKU-1057,Treated Deck Board 5/4x6 - Manage Series,Lumber & Composites,"Baker, Mason and White Corp",Japan,Yard-Bulk,39,580,4.4,1121,24.35,27296.35,CRITICAL
SKU-1255,Pressure Treated Post 4x4 - Middle Series,Lumber & Composites,Williams and Sons Logistics,Vietnam,Aisle-B,40,558,4.5,1076,57.62,61999.12,CRITICAL
SKU-1073,Treated Deck Board 5/4x6 - Dark Series,Lumber & Composites,"Dyer, Potter and Mack Supplies",Germany,Aisle-D,42,546,4.5,1050,21.37,22438.5,CRITICAL
SKU-1473,Interior Matte Paint 1-Gal - Fund Series,Paint & Supplies,"Guzman, Hoffman and Baldwin Corp",Japan,Aisle-D,43,380,4.8,717,139.56,100064.52,CRITICAL
SKU-1271,PVC Cleanout Plug 3in - Public Series,Plumbing,Morales-Jones Corp,Canada,Aisle-A,9,72,4.8,135,257.26,34730.1,CRITICAL
SKU-1379,200A Main Breaker Panel - Mr Series,Electrical,Carlson-Cruz Corp,Germany,Yard-Bulk,6,72,4.8,138,119.0,16422.0,CRITICAL
SKU-1338,200A Main Breaker Panel - Its Series,Electrical,Spence PLC Supplies,Germany,Aisle-C,18,310,4.9,602,197.72,119027.44,CRITICAL
SKU-1366,2x4x8 Prime Framing Stud - Dog Series,Lumber & Composites,Galloway-Wyatt Industrial,Vietnam,Aisle-B,16,423,4.9,830,61.88,51360.4,CRITICAL
SKU-1095,Polyurethane Clear Gloss 1-Qt - Think Series,Paint & Supplies,Allen-Allen Supplies,Canada,Aisle-B,17,96,5.0,175,32.78,5736.5,CRITICAL
SKU-1378,Reciprocating Saw Heavy Duty - Put Series,Power Tools,"Reid, Ferguson and Sanchez Logistics",Germany,Bay-Racks,53,713,5.6,1373,396.01,543721.73,CRITICAL
SKU-1460,3-in Deck Screws 5lb Box - Fish Series,Hardware & Fasteners,"Martin, Rose and Obrien Logistics",China,Bay-Racks,51,960,5.6,1869,14.26,26651.94,CRITICAL
SKU-1134,Galvanized Hex Bolt Pack - Particularly Series,Hardware & Fasteners,"Reid, Ferguson and Sanchez Logistics",Germany,Aisle-B,18,310,5.6,602,8.78,5285.56,CRITICAL
SKU-1264,12/2 NM-B Wire 250ft - Themselves Series,Electrical,Davis and Sons Industrial,USA,Aisle-B,20,40,5.6,60,78.63,4717.8,CRITICAL
SKU-1169,Submersible Sump Pump 1/2HP - President Series,Plumbing,Ryan PLC Logistics,USA,Aisle-C,52,184,5.8,316,28.8,9100.8,CRITICAL
SKU-1210,Rotary Hammer Drill SDS - Authority Series,Power Tools,Abbott-Munoz Logistics,USA,Yard-Bulk,53,171,5.9,289,80.9,23380.1,CRITICAL
SKU-1209,Single-Pole Smart Switch - Upon Series,Electrical,"Harris, Collins and Carney Industrial",Mexico,Aisle-B,54,324,6.0,594,181.68,107917.92,CRITICAL
SKU-1334,Drywall Anchors Heavy Duty - Window Series,Hardware & Fasteners,"Romero, Gonzalez and Brooks Industrial",Japan,Aisle-C,58,768,6.0,1478,33.46,49453.88,CRITICAL
SKU-1319,Framing Nails 21-Degree 1000ct - So Series,Hardware & Fasteners,"Walter, Edwards and Rios Manufacturing",Germany,Aisle-B,54,551,6.0,1048,40.69,42643.12,CRITICAL
SKU-1470,Microfiber Roller Cover 9in - Particularly Series,Paint & Supplies,Anderson Group Supplies,China,Yard-Bulk,8,156,6.0,304,72.1,21918.4,CRITICAL
SKU-1283,LED Shop Light 4ft 5000K - You Series,Electrical,"Harris, Collins and Carney Industrial",Mexico,Aisle-B,21,216,6.0,411,22.74,9346.14,CRITICAL
SKU-1335,Framing Nails 21-Degree 1000ct - Go Series,Hardware & Fasteners,"Guzman, Hoffman and Baldwin Corp",Japan,Bay-Racks,53,360,6.0,667,13.81,9211.27,CRITICAL
SKU-1153,Plywood Sheathing 4x8 - Cultural Series,Lumber & Composites,"Ferrell, Rice and Maddox Industrial",Japan,Aisle-D,54,414,6.2,774,36.41,28181.34,CRITICAL
SKU-1260,Reciprocating Saw Heavy Duty - Approach Series,Power Tools,"Baker, Mason and White Corp",Japan,Aisle-B,57,551,6.3,1045,228.0,238260.0,CRITICAL
SKU-1420,Reciprocating Saw Heavy Duty - Yard Series,Power Tools,Spence PLC Supplies,Germany,Bay-Racks,20,279,6.3,538,298.86,160786.68,CRITICAL
SKU-1180,Plywood Sheathing 4x8 - Relationship Series,Lumber & Composites,"Adams, Zuniga and Wong Corp",Canada,Bay-Racks,56,220,6.3,384,29.74,11420.16,CRITICAL
SKU-1218,PVC Cleanout Plug 3in - Of Series,Plumbing,Spence PLC Supplies,Germany,Aisle-D,22,217,6.4,412,211.5,87138.0,CRITICAL
SKU-1304,LED Shop Light 4ft 5000K - Among Series,Electrical,Galloway-Wyatt Industrial,Vietnam,Aisle-C,22,470,6.5,918,18.37,16863.66,CRITICAL
SKU-1452,Framing Nails 21-Degree 1000ct - Yard Series,Hardware & Fasteners,Dudley Group Industrial,Germany,Bay-Racks,22,234,6.6,446,21.92,9776.32,CRITICAL
SKU-1247,3-in Deck Screws 5lb Box - Series Series,Hardware & Fasteners,Dudley Group Industrial,Germany,Aisle-D,24,234,6.8,444,6.3,2797.2,CRITICAL
SKU-1425,Cedar Shingle Bundle - Himself Series,Lumber & Composites,"Guzman, Hoffman and Baldwin Corp",Japan,Bay-Racks,64,420,6.9,776,33.46,25964.96,CRITICAL
SKU-1290,Water Heater 40-Gal Natural Gas - They Series,Plumbing,Baker and Sons Corp,China,Aisle-C,25,600,7.2,1175,376.16,441988.0,CRITICAL
SKU-1478,2x4x8 Prime Framing Stud - Different Series,Lumber & Composites,"Adams, Zuniga and Wong Corp",Canada,Aisle-D,24,120,7.3,216,38.18,8246.88,CRITICAL
SKU-1308,LED Shop Light 4ft 5000K - Rest Series,Electrical,"Mcclain, Miller and Henderson Corp",China,Aisle-C,23,270,8.0,517,19.17,9910.89,CRITICAL
SKU-1221,Microfiber Roller Cover 9in - Population Series,Paint & Supplies,"Adams, Zuniga and Wong Corp",Canada,Aisle-A,30,90,8.4,150,103.37,15505.5,CRITICAL
SKU-1431,Microfiber Roller Cover 9in - Price Series,Paint & Supplies,"Rodriguez, Figueroa and Sanchez Industrial",China,Aisle-C,82,567,8.5,1052,189.99,199869.48,CRITICAL
SKU-1466,Drywall Anchors Heavy Duty - Few Series,Hardware & Fasteners,Williams and Sons Logistics,Vietnam,Yard-Bulk,30,279,8.5,528,22.14,11689.92,CRITICAL
SKU-1050,Submersible Sump Pump 1/2HP - Between Series,Plumbing,"Hoffman, Baker and Richards Manufacturing",Japan,Aisle-D,81,665,8.6,1249,100.96,126099.04,CRITICAL
SKU-1383,LED Shop Light 4ft 5000K - Not Series,Electrical,Burton Ltd Manufacturing,Vietnam,Aisle-A,30,580,8.6,1130,61.65,69664.5,CRITICAL
SKU-1233,Padlock Laminated Steel - Wrong Series,Hardware & Fasteners,Rodriguez-Graham Logistics,China,Aisle-C,30,352,8.7,674,14.82,9988.68,CRITICAL
SKU-1174,10-in Miter Saw - Other Series,Power Tools,"Walter, Edwards and Rios Manufacturing",Germany,Aisle-C,31,290,8.9,549,135.85,74581.65,CRITICAL
SKU-1177,Padlock Laminated Steel - Worry Series,Hardware & Fasteners,Perez Inc Logistics,Vietnam,Aisle-C,32,480,8.9,928,12.16,11284.48,CRITICAL
SKU-1336,Brass Ball Valve 3/4in - Stay Series,Plumbing,"Gardner, Robinson and Lawrence Corp",China,Aisle-D,87,1058,9.5,2029,432.58,877704.82,CRITICAL
SKU-1076,PVC Cleanout Plug 3in - List Series,Plumbing,"Walter, Edwards and Rios Manufacturing",Germany,Bay-Racks,35,203,10.2,371,41.14,15262.94,CRITICAL
SKU-1012,PVC Cleanout Plug 3in - Against Series,Plumbing,Davis and Sons Industrial,USA,Aisle-B,16,20,10.2,50,237.28,11864.0,CRITICAL
SKU-1360,Framing Nails 21-Degree 1000ct - Hard Series,Hardware & Fasteners,Rodriguez-Graham Logistics,China,Bay-Racks,37,440,10.3,843,11.1,9357.3,CRITICAL
SKU-1484,Interior Matte Paint 1-Gal - Simply Series,Paint & Supplies,Rodriguez-Graham Logistics,China,Aisle-C,33,396,10.4,759,30.66,23270.94,CRITICAL
SKU-1395,3-in Deck Screws 5lb Box - Pick Series,Hardware & Fasteners,Wilkerson-Day Supplies,Germany,Aisle-A,36,198,10.7,360,28.37,10213.2,CRITICAL
SKU-1315,Galvanized Hex Bolt Pack - Usually Series,Hardware & Fasteners,"Mcclain, Miller and Henderson Corp",China,Aisle-C,17,90,10.7,163,7.71,1256.73,CRITICAL
SKU-1071,Reciprocating Saw Heavy Duty - Boy Series,Power Tools,Ryan PLC Logistics,USA,Yard-Bulk,36,72,11.0,108,223.57,24145.56,CRITICAL
SKU-1102,PVC Cleanout Plug 3in - Compare Series,Plumbing,Gray-Mayo Supplies,Japan,Yard-Bulk,37,261,11.1,485,398.44,193243.4,CRITICAL
SKU-1064,Submersible Sump Pump 1/2HP - Billion Series,Plumbing,Carlson-Cruz Corp,Germany,Aisle-A,39,192,11.1,345,103.0,35535.0,CRITICAL
SKU-1465,Painter Tape Pro 1.88in - Fly Series,Paint & Supplies,"Mcclure, Ward and Lee Industrial",China,Aisle-D,16,84,11.1,152,199.69,30352.88,CRITICAL
SKU-1296,PEX-B Pipe 1/2in x 100ft - Care Series,Plumbing,"Walter, Edwards and Rios Manufacturing",Germany,Yard-Bulk,41,232,11.7,423,197.54,83559.42,CRITICAL
SKU-1066,Pressure Treated Post 4x4 - Interesting Series,Lumber & Composites,"Arroyo, Miller and Tucker Logistics",Canada,Yard-Bulk,37,112,11.7,187,20.47,3827.89,CRITICAL
SKU-1289,Circular Saw 7-1/4in - Also Series,Power Tools,"Ross, Robinson and Bright Corp",Canada,Bay-Racks,41,135,11.9,229,296.38,67871.02,CRITICAL
SKU-1190,LED Shop Light 4ft 5000K - Lot Series,Electrical,James Group Logistics,China,Bay-Racks,41,280,12.2,519,202.26,104972.94,CRITICAL
SKU-1285,Airless Paint Sprayer - Rock Series,Paint & Supplies,"Ross, Robinson and Bright Corp",Canada,Aisle-A,42,135,12.4,228,211.69,48265.32,CRITICAL
SKU-1417,Framing Nails 21-Degree 1000ct - Nothing Series,Hardware & Fasteners,"Watts, Robinson and Nguyen Industrial",Vietnam,Aisle-B,47,518,12.7,989,15.19,15022.91,CRITICAL
SKU-1413,18V Brushless Drill Kit - Ability Series,Power Tools,Smith-Bowen Industrial,Japan,Aisle-C,20,112,12.8,204,314.98,64255.92,CRITICAL
SKU-1265,Drywall Anchors Heavy Duty - Factor Series,Hardware & Fasteners,"Gardner, Robinson and Lawrence Corp",China,Aisle-B,19,184,13.1,349,8.99,3137.51,CRITICAL
SKU-1476,Water Heater 40-Gal Natural Gas - Letter Series,Plumbing,"Romero, Gonzalez and Brooks Industrial",Japan,Aisle-D,23,160,13.2,297,40.29,11966.13,CRITICAL
SKU-1495,LED Shop Light 4ft 5000K - Tell Series,Electrical,Doyle Ltd Supplies,Canada,Aisle-D,46,63,13.4,80,96.32,7705.6,CRITICAL
SKU-1350,200A Main Breaker Panel - Idea Series,Electrical,"Dyer, Potter and Mack Supplies",Germany,Aisle-A,46,234,13.5,422,40.66,17158.52,CRITICAL
SKU-1139,Airless Paint Sprayer - Former Series,Paint & Supplies,Hickman Ltd Industrial,Germany,Aisle-C,42,140,13.8,238,155.54,37018.52,CRITICAL
SKU-1485,PEX-B Pipe 1/2in x 100ft - Condition Series,Plumbing,"Gardner, Robinson and Lawrence Corp",China,Aisle-A,51,506,14.8,961,310.0,297910.0,CRITICAL
SKU-1070,Airless Paint Sprayer - Training Series,Paint & Supplies,"Ross, Robinson and Bright Corp",Canada,Aisle-D,19,60,14.8,101,114.97,11611.97,CRITICAL
SKU-1144,Circular Saw 7-1/4in - Morning Series,Power Tools,Rodriguez LLC Industrial,Germany,Bay-Racks,49,290,15.0,531,211.31,112205.61,CRITICAL
SKU-1216,Rotary Hammer Drill SDS - Left Series,Power Tools,Rodriguez LLC Industrial,Germany,Yard-Bulk,53,232,15.1,411,93.83,38564.13,CRITICAL
SKU-1010,Submersible Sump Pump 1/2HP - Attack Series,Plumbing,"Dyer, Potter and Mack Supplies",Germany,Bay-Racks,54,208,15.5,362,57.82,20930.84,CRITICAL
SKU-1046,Padlock Laminated Steel - Material Series,Hardware & Fasteners,"Dyer, Potter and Mack Supplies",Germany,Aisle-B,48,234,15.8,420,21.59,9067.8,CRITICAL
SKU-1428,PEX-B Pipe 1/2in x 100ft - Red Series,Plumbing,Carlson-Cruz Corp,Germany,Aisle-A,24,120,15.9,216,330.38,71362.08,CRITICAL
SKU-1345,Submersible Sump Pump 1/2HP - Example Series,Plumbing,"Harris, Collins and Carney Industrial",Mexico,Yard-Bulk,56,162,15.9,268,173.23,46425.64,CRITICAL
SKU-1309,Painter Tape Pro 1.88in - Enjoy Series,Paint & Supplies,Doyle Ltd Supplies,Canada,Aisle-B,56,63,16.0,70,255.2,17864.0,CRITICAL
SKU-1405,Interior Matte Paint 1-Gal - Image Series,Paint & Supplies,Smith-Bowen Industrial,Japan,Aisle-A,55,280,16.1,505,236.71,119538.55,CRITICAL
SKU-1401,Polyurethane Clear Gloss 1-Qt - Least Series,Paint & Supplies,Spence PLC Supplies,Germany,Yard-Bulk,151,651,16.1,1151,20.28,23342.28,CRITICAL
SKU-1049,Microfiber Roller Cover 9in - Customer Series,Paint & Supplies,"Henderson, Ramirez and Lewis Manufacturing",Canada,Aisle-B,52,96,16.6,140,117.41,16437.4,CRITICAL
SKU-1429,Cedar Shingle Bundle - Wife Series,Lumber & Composites,Garcia-James Logistics,Canada,Aisle-D,57,70,16.6,83,33.39,2771.37,CRITICAL
SKU-1196,Plywood Sheathing 4x8 - Act Series,Lumber & Composites,Rodriguez-Graham Logistics,China,Aisle-B,52,352,16.9,652,34.87,22735.24,CRITICAL
SKU-1104,Submersible Sump Pump 1/2HP - Mention Series,Plumbing,Doyle Ltd Supplies,Canada,Yard-Bulk,57,63,16.9,69,297.64,20537.16,CRITICAL
SKU-1418,Padlock Laminated Steel - Right Series,Hardware & Fasteners,George Group Corp,Canada,Aisle-C,61,70,17.0,79,34.19,2701.01,CRITICAL
SKU-1266,LED Shop Light 4ft 5000K - Another Series,Electrical,Rodriguez-Graham Logistics,China,Aisle-A,62,396,17.1,730,118.95,86833.5,CRITICAL
SKU-1371,Circular Saw 7-1/4in - Get Series,Power Tools,"Ferrell, Rice and Maddox Industrial",Japan,Bay-Racks,162,460,17.3,758,256.48,194411.84,CRITICAL
SKU-1483,Polyurethane Clear Gloss 1-Qt - Style Series,Paint & Supplies,"Gardner, Robinson and Lawrence Corp",China,Yard-Bulk,59,368,17.4,677,82.89,56116.53,CRITICAL
SKU-1028,12/2 NM-B Wire 250ft - Give Series,Electrical,Rodriguez LLC Industrial,Germany,Bay-Racks,64,319,17.6,574,151.91,87196.34,CRITICAL
SKU-1025,Cedar Shingle Bundle - Western Series,Lumber & Composites,Perez Inc Logistics,Vietnam,Aisle-A,62,528,18.2,994,20.15,20029.1,CRITICAL
SKU-1318,3-in Deck Screws 5lb Box - Pressure Series,Hardware & Fasteners,"Henderson, Ramirez and Lewis Manufacturing",Canada,Aisle-A,171,216,18.5,261,39.77,10379.97,CRITICAL
SKU-1167,Padlock Laminated Steel - Phone Series,Hardware & Fasteners,"Watts, Robinson and Nguyen Industrial",Vietnam,Aisle-B,63,333,18.7,603,33.02,19911.06,CRITICAL
SKU-1326,Pressure Treated Post 4x4 - Such Series,Lumber & Composites,Allen-Allen Supplies,Canada,Aisle-B,66,120,19.1,174,28.71,4995.54,CRITICAL
SKU-1163,Brass Ball Valve 3/4in - Voice Series,Plumbing,"Ferrell, Rice and Maddox Industrial",Japan,Aisle-B,64,207,19.5,350,243.81,85333.5,CRITICAL
SKU-1236,Drywall Anchors Heavy Duty - Everything Series,Hardware & Fasteners,Abbott-Munoz Logistics,USA,Yard-Bulk,61,63,19.5,65,19.69,1279.85,CRITICAL
SKU-1456,3-in Deck Screws 5lb Box - Weight Series,Hardware & Fasteners,"Gardner, Robinson and Lawrence Corp",China,Aisle-B,64,368,20.1,672,41.97,28203.84,CRITICAL
SKU-1206,PEX-B Pipe 1/2in x 100ft - Cause Series,Plumbing,Harrell LLC Supplies,Vietnam,Aisle-A,177,874,20.4,1571,322.18,506144.78,CRITICAL
SKU-1143,Water Heater 40-Gal Natural Gas - Me Series,Plumbing,Blake and Sons Logistics,Japan,Aisle-C,71,228,20.5,385,203.11,78197.35,CRITICAL
SKU-1188,Polyurethane Clear Gloss 1-Qt - Quite Series,Paint & Supplies,"Martin, Rose and Obrien Logistics",China,Aisle-D,74,360,20.5,646,29.8,19250.8,CRITICAL
SKU-1288,Single-Pole Smart Switch - Offer Series,Electrical,Burton Ltd Manufacturing,Vietnam,Aisle-B,68,522,20.9,976,78.44,76557.44,CRITICAL
SKU-1424,Single-Pole Smart Switch - Debate Series,Electrical,Harrell LLC Supplies,Vietnam,Aisle-B,71,322,21.1,573,171.18,98086.14,CRITICAL
SKU-1481,200A Main Breaker Panel - Student Series,Electrical,Wilkerson-Day Supplies,Germany,Yard-Bulk,72,198,21.1,324,182.12,59006.88,CRITICAL
SKU-1094,PVC Cleanout Plug 3in - Now Series,Plumbing,"Baker, Mason and White Corp",Japan,Aisle-C,79,232,21.2,385,452.61,174254.85,CRITICAL
SKU-1085,Framing Nails 21-Degree 1000ct - Bag Series,Hardware & Fasteners,"Watts, Robinson and Nguyen Industrial",Vietnam,Aisle-D,80,370,21.3,660,18.77,12388.2,CRITICAL
SKU-1433,Interior Matte Paint 1-Gal - Record Series,Paint & Supplies,"Guzman, Hoffman and Baldwin Corp",Japan,Aisle-D,71,240,21.5,409,143.91,58859.19,CRITICAL
SKU-1158,Padlock Laminated Steel - Training Series,Hardware & Fasteners,Abbott-Munoz Logistics,USA,Yard-Bulk,71,81,21.5,91,28.62,2604.42,CRITICAL
SKU-1414,Polyurethane Clear Gloss 1-Qt - Nature Series,Paint & Supplies,Wilkerson-Day Supplies,Germany,Aisle-B,77,264,22.2,451,51.4,23181.4,CRITICAL
SKU-1136,Microfiber Roller Cover 9in - Occur Series,Paint & Supplies,"Ferrell, Rice and Maddox Industrial",Japan,Aisle-C,72,207,22.9,342,184.03,62938.26,CRITICAL
SKU-1245,Reciprocating Saw Heavy Duty - Point Series,Power Tools,"Mcclure, Ward and Lee Industrial",China,Bay-Racks,206,560,23.0,914,394.04,360152.56,CRITICAL
SKU-1353,Padlock Laminated Steel - Town Series,Hardware & Fasteners,"Gardner, Robinson and Lawrence Corp",China,Bay-Racks,77,460,23.1,843,7.61,6415.23,CRITICAL
SKU-1442,2x4x8 Prime Framing Stud - Issue Series,Lumber & Composites,"Harris, Collins and Carney Industrial",Mexico,Aisle-C,39,90,23.6,141,54.14,7633.74,CRITICAL
SKU-1389,Framing Nails 21-Degree 1000ct - Every Series,Hardware & Fasteners,Dudley Group Industrial,Germany,Aisle-C,75,208,23.8,341,26.49,9033.09,CRITICAL
SKU-1351,Cedar Shingle Bundle - Turn Series,Lumber & Composites,"Baker, Mason and White Corp",Japan,Bay-Racks,81,261,24.0,441,44.54,19642.14,CRITICAL
SKU-1427,Rotary Hammer Drill SDS - Available Series,Power Tools,Frazier Inc Logistics,Japan,Aisle-D,81,272,24.1,463,251.19,116300.97,CRITICAL
SKU-1416,10-in Miter Saw - Sure Series,Power Tools,"Rodriguez, Figueroa and Sanchez Industrial",China,Bay-Racks,85,243,24.1,401,232.31,93156.31,CRITICAL
SKU-1039,1/2in EMT Conduit 10ft - Worry Series,Electrical,Galloway-Wyatt Industrial,Vietnam,Yard-Bulk,89,705,24.3,1321,214.64,283539.44,CRITICAL
